interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;3600.00;0_to_3600;0;0;0;-1000933268;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1006106056#0;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1006106056#1;0;0;0;0.00
0.00;3600.00;0_to_3600;5;6;45;-1024105863;0;0;45;481.45
0.00;3600.00;0_to_3600;4;4;23;-1037986847;2;2;23;77.42
0.00;3600.00;0_to_3600;0;0;0;-1056901981#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1058267556#0;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1058267556#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1059828488;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1059828490;0;0;0;0.00
0.00;3600.00;0_to_3600;1;3;56;-1066438511#1;0;0;58;535.17
0.00;3600.00;0_to_3600;0;4;78;-1066478854#1;0;0;82;840.31
0.00;3600.00;0_to_3600;2;3;8;-1080960154#1;0;0;9;436.76
0.00;3600.00;0_to_3600;0;8;0;-1083809476#2;0;0;8;111.88
0.00;3600.00;0_to_3600;0;0;0;-1089556862;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1092037414;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1092277111#0;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1092277112;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1092277114#0;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1092277114#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1099375861;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1104041094;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1104477172;0;0;0;0.00
0.00;3600.00;0_to_3600;4;4;13;-1106583870;0;0;13;223.76
0.00;3600.00;0_to_3600;0;0;0;-1109746214;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1109746215;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1112471208;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1127569560;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1143919181;0;0;0;0.00
0.00;3600.00;0_to_3600;7;3;24;-1156329250;0;0;20;22.61
0.00;3600.00;0_to_3600;0;0;0;-1156337048;0;0;0;0.00
0.00;3600.00;0_to_3600;3;8;23;-1167764376;0;0;25;2753.89
0.00;3600.00;0_to_3600;0;0;0;-1174838574;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1189500284;0;0;0;0.00
0.00;3600.00;0_to_3600;3;4;85;-119180342#1;4;4;86;119.83
0.00;3600.00;0_to_3600;10;5;74;-121794822#1;0;0;69;2569.44
0.00;3600.00;0_to_3600;4;4;63;-121794822#3;0;0;63;504.42
0.00;3600.00;0_to_3600;1;2;34;-121794822#5;0;0;35;419.92
0.00;3600.00;0_to_3600;1;6;20;-121794822#7;0;0;25;187.12
0.00;3600.00;0_to_3600;2;3;15;-121794822#9;0;0;16;101.72
0.00;3600.00;0_to_3600;0;13;0;-121794824;0;0;13;486.72
0.00;3600.00;0_to_3600;3;5;62;-121794825#0;0;0;64;269.62
0.00;3600.00;0_to_3600;1;6;30;-121794825#2;0;0;35;858.08
0.00;3600.00;0_to_3600;0;12;0;-121794825#3;0;0;12;30.72
0.00;3600.00;0_to_3600;3;2;11;-121794827;0;0;10;427.04
0.00;3600.00;0_to_3600;1;5;28;-1230294701;0;0;31;839.29
0.00;3600.00;0_to_3600;0;0;0;-1236138839;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1236138842;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1236456856;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1238081828#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1239207127#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-1239219872#1;0;0;0;0.00
