tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
63.00;1024105863_0;26.14;8.68;46.00;2.40;745660413#0_0;5.10;0.00;tripinfo_55;17.00;55;0;101.37;1.04;0.00;3.81;DEFAULT_VEHTYPE;;0;0.00
89.00;-510702675#4_0;98.24;7.26;41.00;0.68;231475823#0_0;5.10;0.00;tripinfo_56;48.00;56;0;323.47;0.94;0.00;6.05;DEFAULT_VEHTYPE;;0;0.00
108.00;-781742860#5_0;32.45;7.11;9.00;0.28;1053478469#1_0;5.10;0.00;tripinfo_1;99.00;1;0;647.67;0.90;0.00;11.48;DEFAULT_VEHTYPE;;0;0.00
122.00;4726679#1_0;47.90;8.22;27.00;0.80;606502609_0;0.20;0.00;tripinfo_10;95.00;10;0;533.76;1.06;0.00;11.89;DEFAULT_VEHTYPE;;0;0.00
125.00;-13853659#1_0;26.47;5.84;19.00;0.12;150275991#0_0;5.10;0.00;tripinfo_4;106.00;4;1;854.78;1.15;0.00;13.58;DEFAULT_VEHTYPE;;0;0.00
127.00;4730609_1;86.37;7.46;81.00;0.24;305670610_0;4.09;0.00;tripinfo_108;46.00;108;0;514.52;1.05;0.00;5.10;DEFAULT_VEHTYPE;;0;0.00
129.00;23179512#1_0;91.48;8.13;37.00;0.04;963479927#0_0;5.10;0.00;tripinfo_43;92.00;43;0;868.65;1.11;0.00;12.91;DEFAULT_VEHTYPE;;0;0.00
137.00;11294375#0_0;66.35;8.53;27.00;0.88;-8140188#8_0;5.10;0.00;tripinfo_21;110.00;21;0;886.25;1.09;0.00;11.98;DEFAULT_VEHTYPE;;0;0.00
141.00;628755546#0_0;1.00;5.31;79.00;0.84;14858868_0;5.10;0.00;tripinfo_103;62.00;103;1;260.38;1.02;0.00;30.83;DEFAULT_VEHTYPE;;1;20.00
145.00;450186404_0;75.65;5.87;37.00;0.68;307372339#0_0;5.10;0.00;tripinfo_31;108.00;31;0;516.30;0.73;0.00;22.50;DEFAULT_VEHTYPE;;1;8.00
148.00;7682866#2_0;23.46;7.57;101.00;0.40;7682866#0_0;5.10;0.00;tripinfo_130;47.00;130;0;357.27;1.03;0.00;4.92;DEFAULT_VEHTYPE;;0;0.00
158.00;290174551#1_0;5.51;7.32;21.00;0.96;40493501#2_0;5.10;0.00;tripinfo_7;137.00;7;0;878.95;0.91;0.00;14.91;DEFAULT_VEHTYPE;;0;0.00
160.00;14118784#0_0;104.44;6.96;52.00;0.16;-17670100#4_0;5.10;0.00;tripinfo_47;108.00;47;1;764.32;0.99;0.00;12.82;DEFAULT_VEHTYPE;;0;0.00
161.00;8382302#0_0;79.20;8.01;81.00;0.88;-8382445#1_0;5.10;0.00;tripinfo_96;80.00;96;0;650.94;1.10;0.00;8.18;DEFAULT_VEHTYPE;;0;0.00
162.00;-1167764376_0;66.38;8.12;26.00;0.52;62020111_0;5.10;0.00;tripinfo_9;136.00;9;0;1265.58;1.01;0.00;14.68;DEFAULT_VEHTYPE;;0;0.00
162.00;8152033#1_0;26.93;8.86;39.00;0.48;31448934#1_0;5.10;0.00;tripinfo_41;123.00;41;0;851.28;1.07;0.00;20.93;DEFAULT_VEHTYPE;;1;2.00
165.00;-524150311#0_0;13.37;7.55;89.00;0.20;-220267247#5_0;5.10;0.00;tripinfo_115;76.00;115;0;556.30;1.01;0.00;8.55;DEFAULT_VEHTYPE;;0;0.00
166.00;4730634#0_0;128.10;7.77;21.00;0.20;610739513#1_0;5.10;0.00;tripinfo_15;145.00;15;0;1075.01;1.00;0.00;15.15;DEFAULT_VEHTYPE;;0;0.00
166.00;-781650841_0;71.98;10.98;73.00;0.12;-8140197#2_0;5.10;0.00;tripinfo_79;93.00;79;0;608.16;0.86;0.00;11.49;DEFAULT_VEHTYPE;;0;0.00
169.00;510702678#1_0;70.72;8.13;26.00;0.96;628782531_0;5.10;0.00;tripinfo_32;143.00;32;0;1420.05;1.10;0.00;30.79;DEFAULT_VEHTYPE;;2;10.00
179.00;-40493501#3_0;158.42;8.42;60.00;0.32;4760584#0_0;5.10;0.00;tripinfo_69;119.00;69;0;948.51;1.11;0.00;14.45;DEFAULT_VEHTYPE;;0;0.00
183.00;1083809476#0_0;72.33;8.61;24.00;0.44;-29023870#1_0;5.10;0.00;tripinfo_23;159.00;23;0;1936.56;1.08;0.00;12.81;DEFAULT_VEHTYPE;;0;0.00
188.00;307372337#0_0;29.89;7.25;21.00;0.76;14118785#1_0;5.10;0.00;tripinfo_17;167.00;17;1;1034.14;0.95;0.00;35.69;DEFAULT_VEHTYPE;;2;10.00
190.00;290172305#0_0;50.40;7.47;50.00;0.80;47426244#2_0;5.10;0.00;tripinfo_60;140.00;60;0;983.60;0.95;0.00;15.24;DEFAULT_VEHTYPE;;0;0.00
192.00;-14118784#2_0;30.19;8.70;42.00;0.24;-8140193#2_0;5.10;0.00;tripinfo_33;150.00;33;0;1175.29;1.10;0.00;19.97;DEFAULT_VEHTYPE;;0;0.00
201.00;-13764245#1_0;218.00;8.53;15.00;0.00;40151780#0_0;5.10;0.00;tripinfo_0;186.00;0;0;1808.00;1.09;0.00;18.91;DEFAULT_VEHTYPE;;0;0.00
202.00;-95742119#1_0;3.64;3.40;107.00;0.88;40151775_0;5.10;0.00;tripinfo_146;95.00;146;0;538.11;0.80;0.00;20.15;DEFAULT_VEHTYPE;;1;3.00
209.00;-4426076#0_0;30.91;7.04;9.00;0.08;1287393211#3_0;5.10;0.00;tripinfo_11;200.00;11;0;1199.05;0.95;0.00;51.94;DEFAULT_VEHTYPE;;3;16.00
209.00;781742860#4_0;32.44;9.15;120.00;0.96;510702675#0_0;5.10;0.00;tripinfo_157;89.00;157;0;529.85;1.13;0.00;31.93;DEFAULT_VEHTYPE;;1;23.00
211.00;124862963#0_0;89.92;17.14;10.00;0.36;8384905#0_0;5.10;0.00;tripinfo_12;201.00;12;0;1965.85;1.27;0.00;29.26;DEFAULT_VEHTYPE;;1;1.00
212.00;-8382302#1_0;190.32;9.30;154.00;0.36;220267247#2_0;3.57;0.00;tripinfo_212;58.00;212;0;465.98;1.12;0.00;6.65;DEFAULT_VEHTYPE;;0;0.00
216.00;628782530_0;3.16;4.25;146.00;0.92;1174387992_0;3.66;0.00;tripinfo_189;70.00;189;0;698.83;0.91;0.00;11.51;DEFAULT_VEHTYPE;;0;0.00
217.00;8382393#0_0;78.47;8.03;99.00;0.08;413722453#0_0;5.10;0.00;tripinfo_136;118.00;136;0;1126.52;1.00;0.00;13.34;DEFAULT_VEHTYPE;;0;0.00
218.00;4392761#0_0;24.31;14.34;66.00;0.20;4726737_0;5.10;0.00;tripinfo_90;152.00;90;0;1481.12;1.23;0.00;22.27;DEFAULT_VEHTYPE;;0;0.00
222.00;-8140197#2_0;78.81;6.37;30.00;0.16;-220267247#5_0;5.10;0.00;tripinfo_22;192.00;22;0;1237.96;0.87;0.00;20.13;DEFAULT_VEHTYPE;;0;0.00
223.00;-4426075#1_0;235.07;8.44;51.00;0.52;36801001#1_0;5.10;0.00;tripinfo_59;172.00;59;0;1687.35;1.08;0.00;16.01;DEFAULT_VEHTYPE;;0;0.00
226.00;4426076#1_0;56.03;7.81;191.00;0.16;1263955158#1_0;5.10;0.00;tripinfo_247;35.00;247;0;234.61;1.05;0.00;6.87;DEFAULT_VEHTYPE;;0;0.00
228.00;4730633#0_0;63.51;6.71;40.00;0.84;-4760584#1_0;5.10;0.00;tripinfo_28;188.00;28;0;1294.36;0.93;0.00;20.60;DEFAULT_VEHTYPE;;0;0.00
